Var1 Var2 value zScore
EastGC7 EastGC1 -0.017 0.089
EastGC10 EastGC1 -0.102 -0.166
EastGC11 EastGC1 -0.101 -0.163
EastGC13 EastGC1 -0.037 0.029
EastGC2 EastGC1 -0.086 -0.118
EastGC3 EastGC1 -0.145 -0.296
EastGC4 EastGC1 -0.091 -0.133
Private1 EastGC1 -0.19 -0.431
Drain1 EastGC1 0.643 2.071
EastGC7 EastGC7 0 0.14
EastGC10 EastGC7 -0.081 -0.103
EastGC11 EastGC7 -0.088 -0.124
EastGC13 EastGC7 -0.024 0.068
EastGC2 EastGC7 -0.069 -0.067
EastGC3 EastGC7 -0.129 -0.248
EastGC4 EastGC7 -0.08 -0.1
Private1 EastGC7 -0.181 -0.404
Drain1 EastGC7 0.645 2.077
EastGC10 EastGC10 0 0.14
EastGC11 EastGC10 -0.009 0.113
EastGC13 EastGC10 0.057 0.311
EastGC2 EastGC10 0.009 0.167
EastGC3 EastGC10 -0.056 -0.028
EastGC4 EastGC10 -0.001 0.137
Private1 EastGC10 -0.104 -0.172
Drain1 EastGC10 0.688 2.206
EastGC11 EastGC11 0 0.14
EastGC13 EastGC11 0.064 0.332
EastGC2 EastGC11 0.014 0.182
EastGC3 EastGC11 -0.048 -0.004
EastGC4 EastGC11 0.004 0.152
Private1 EastGC11 -0.108 -0.185
Drain1 EastGC11 0.686 2.2
EastGC13 EastGC13 0 0.14
EastGC2 EastGC13 -0.047 -0.001
EastGC3 EastGC13 -0.109 -0.188
EastGC4 EastGC13 -0.058 -0.034
Private1 EastGC13 -0.162 -0.347
Drain1 EastGC13 0.659 2.119
EastGC2 EastGC2 0 0.14
EastGC3 EastGC2 -0.058 -0.034
EastGC4 EastGC2 -0.009 0.113
Private1 EastGC2 -0.117 -0.212
Drain1 EastGC2 0.683 2.191
EastGC3 EastGC3 0 0.14
EastGC4 EastGC3 0.049 0.287
Private1 EastGC3 -0.063 -0.049
Drain1 EastGC3 0.719 2.3
EastGC4 EastGC4 0 0.14
Private1 EastGC4 -0.11 -0.191
Drain1 EastGC4 0.69 2.212
Private1 Private1 0 0.14
Drain1 Private1 0.736 2.351
Drain1 Drain1 0 0.14
