N.LA,N.UNK,N.Grp3A,N.Grp3B,N.Grp2A,N.Grp2B,N.Grp4,N.Grp1,N.Grp5,migNat,migGrp3,migGrp2,bottleneckSeverity,T.UNK,T.Grp3A,T.Grp3B,T.Grp2A,T.Grp4,T.Grp2B,T.Grp1,T.Grp5,est.N.LA,est.N.UNK,est.N.Grp3A,est.N.Grp3B,est.N.Grp2A,est.N.Grp2B,est.N.Grp4,est.N.Grp1,est.N.Grp5,est.migNat,est.migGrp3,est.migGrp2,est.bottleneckSeverity,est.T.UNK,est.T.Grp3A,est.T.Grp3B,est.T.Grp2A,est.T.Grp4,est.T.Grp2B,est.T.Grp1,est.T.Grp5,lowHPD.N.LA,lowHPD.N.UNK,lowHPD.N.Grp3A,lowHPD.N.Grp3B,lowHPD.N.Grp2A,lowHPD.N.Grp2B,lowHPD.N.Grp4,lowHPD.N.Grp1,lowHPD.N.Grp5,lowHPD.migNat,lowHPD.migGrp3,lowHPD.migGrp2,lowHPD.bottleneckSeverity,lowHPD.T.UNK,lowHPD.T.Grp3A,lowHPD.T.Grp3B,lowHPD.T.Grp2A,lowHPD.T.Grp4,lowHPD.T.Grp2B,lowHPD.T.Grp1,lowHPD.T.Grp5,highHPD.N.LA,highHPD.N.UNK,highHPD.N.Grp3A,highHPD.N.Grp3B,highHPD.N.Grp2A,highHPD.N.Grp2B,highHPD.N.Grp4,highHPD.N.Grp1,highHPD.N.Grp5,highHPD.migNat,highHPD.migGrp3,highHPD.migGrp2,highHPD.bottleneckSeverity,highHPD.T.UNK,highHPD.T.Grp3A,highHPD.T.Grp3B,highHPD.T.Grp2A,highHPD.T.Grp4,highHPD.T.Grp2B,highHPD.T.Grp1,highHPD.T.Grp5
309,5481,79,11,585,1182,36,1843,16,0.0468,0.0012,3e-04,0.004,1383,6,6,21,5,18,8,7,360.024511166616,473.657244904449,157.835328471642,145.822865487135,251.024106486156,511.812763610054,136.284980637431,127.197051296217,121.555468045463,0.0304491593123274,0.00098709860445554,0.001001318090851,0.0217896561124462,3014.97685208495,13,6.00618766632436,30.6426246159116,12.7735689353526,16,26.1393628467038,11.0124159313079,106.218799954281,105.790410239847,11.0785753752332,11.0605020634288,14.3083822753331,24.171795000215,11.9663458242007,11.0798393408331,11.0073355805294,0.0109153625204511,0.000198028108400815,0.000199194530955153,0.00210423431216034,1104.90248344035,3.00150242106949,2.99915057669447,3.99036546975248,2.97404880532335,2.99375226519707,3.00429409851056,2.9834194200061,6946.65589080557,8358.75173957886,1738.70225409939,1781.36320336073,1759.70193986122,1902.26383866146,1748.28106527953,1738.29882516564,1692.65362164666,0.048917884366759,0.00905562073362633,0.00876989290276447,0.224126652658236,4900.10948283936,40.7963863009248,28,48.9662345009731,39.9342425930911,42.6687296048877,48.9850557645814,39.8990513353969
5428,281,742,1413,1655,13,868,67,19,0.0351,5e-04,0.005,0.032,4056,2,2,2,2,2,36,23,1442.74753064555,1167.96446859666,327.981502063352,272.028386306398,251.582405800577,158.444496814086,247.962296520475,87.4851730553802,57.2193023314616,0.0302360548844641,0.00108970281672471,0.00103112677747583,0.0589927968180738,3060.39965938031,8.16537971289173,4.03526862377867,21.4713180766695,8.98826816761996,9.10643861354869,27.8629749533875,12.8126202888792,121.812767159373,120.452079702284,15.7915797196316,14.5494861970126,18.5494519052828,13.1858488672693,12.9485645083838,11.1079988708636,11.1474905572251,0.0109878692898061,0.00019820019111159,0.000192903965866666,0.00312747708350064,1103.83532363406,2.96896243785885,2.94940211659093,3.03288265940798,2.97939288159922,2.9548234823119,3.04963720311357,2.99342475598191,9131.17528346631,8892.03478440054,1836.9401396554,1815.22604448841,1752.10226852393,1612.33266063325,1791.55576797365,1582.55165496992,1485.37042920031,0.0491071410184885,0.00918744402766392,0.00898596144300978,0.232596866399267,4890.95161647243,35.4176918748271,23.593662266987,48.0637901985335,37.3259284714016,36.1736935793435,48.9937924092297,40.5665919551131
208,4350,185,1385,871,52,111,13,35,0.0306,3e-04,0.0036,0.01,2444,15,6,24,2,14,37,27,558.267554603759,679.018188187215,107.045729574253,132.535325529823,696.695625672247,60.3905415057486,242.371273128046,84.6573813718703,90.4300484768771,0.0302157493397583,0.000923585778429901,0.000895892840623442,0.00826565785716955,3034.45046295435,12.8020189643895,5.90651518601328,27.1540030642905,11.0071380997472,11.7151371274298,26.8860148650841,10.9996937941974,112.659612256336,108.562398781023,11.8923148232174,11.3302799221371,86.8928091328566,11.2744295505108,12.53315157276,11.3293066457738,11.1015895869883,0.0109030726875375,0.000193846688909463,0.000204872774164202,0.00208697149072975,1129.05440059993,2.89210726849577,2.92212896264217,3.81710303470422,2.86216536904568,2.83511273448117,2.98816145778164,2.97596490759068,7487.13108915952,8851.99352597546,1399.86510534291,1675.03668483753,1916.27984128425,1127.66254430516,1789.67087419982,1552.16030598354,1538.04990990601,0.0490100810343131,0.00902677698948173,0.00838986293074672,0.162951766583518,4890.37029075799,39.8172325753053,28.8342591176301,48.7387421698691,39.269134850224,39.1397897895433,48.9831650660241,40
3065,7304,56,102,175,1443,31,58,25,0.0475,0.0019,1e-04,0.042,3416,4,3,13,8,8,12,7,472.016720571839,734.238037902517,193.338830880152,163.008447031721,152.956574025307,169.03135161804,169.57529823401,133.405500207537,235.630031871341,0.0299274997197634,0.00109061450511611,0.00104810108266781,0.028,2915.76353040317,12,5.93129350219624,27.6300291943873,11.575571571484,11.9652864240628,27.9925082403904,12,105,105.212291231678,13,11.9236240571598,14.1696219867064,12,12,11.0818566733462,14.9676508103105,0.0109981142419452,0.000189289632693309,2e-04,0.00196169221326141,1085,2.98087960331419,2.8891450512703,4,2.97414177384663,2.98845916200291,3.69388503366586,3,7772.65296338384,9111.3455963162,1825.01202273113,1813,1689.57611673645,1817.19219430078,1796.45623902007,1777.28553934029,1825.07239765036,0.0489,0.00908354046226192,0.00882006755885657,0.229637354882465,4893.12889315367,40.8860550685288,28.8711440634442,48.968554398329,39.8026280394145,40.9678504476161,49.0020907400932,40
480,6337,1106,433,1091,162,37,14,28,0.0487,9e-04,4e-04,0.031,2053,6,5,11,11,4,10,9,704.203292800694,827.960152765875,190.546704064676,158.73507758015,368.808807393382,136.975855546421,126.57866977195,99.2967206684818,94.073469279312,0.0287447031998211,0.00100992027905043,0.00100321997122641,0.0128625503967847,2933.62672768975,12.3805452187807,5.86147899231583,28.5643151733593,12.1883050140856,12.5285555456849,27.0449230016968,11.8827961947896,111.785699274622,107.437409941716,12.081234858274,12.0707317831399,14.3770574297279,11.0115906252996,11.8312268467564,10.9926579285285,11.0569426613641,0.0109339021863567,0.000199619252043981,0.000200100259464415,0.00296783909785031,1092.02876892446,2.95368705808831,2.94419835727862,3.90786308423726,2.95118749824367,2.9371561407744,3.01487097683364,2.98518175179682,7741.02142688109,8620.26805850658,1783.22084473821,1739.81917697374,1841.01835292557,1736.26866812401,1730.50852326405,1561.47276452869,1628.45588739137,0.049081924755085,0.00888079783266488,0.00899205049336207,0.192287715765831,4893.97618989719,40.4184523621301,28.3076660603913,48.9275329626149,39.9438811232725,40.2921517639369,48.9983919937408,40.8560373944485
1817,3593,32,152,601,16,13,103,281,0.0479,7e-04,0.0029,0.087,2706,21,9,37,21,32,29,10,479.582340280053,592.436183602578,150.155070601921,127.730435681722,795.170144618772,96.3454371718799,105.225122623606,293.967340404315,112.939495685656,0.0301939452315792,0.00102314906008695,0.000898902317706129,0.0167238074643724,3011.80568775804,13,5.97303971935325,27.996736890993,12.4086817710893,12.2034193768678,24.8180011144357,10.0371061028704,108.4103523051,107.201680668539,11.9744107829047,11.1269306970407,107.402634679147,11.041517529722,11.0067749382922,13.5674352667157,11.1739836698432,0.0110331255853631,2e-04,0.000196581487794509,0.00212795428595704,1090.73274110129,2.9910690738553,2.9260756060021,4.10605131282908,2.99162050366769,2.97320377666928,3.00568375297599,2.99915967936828,7275.98378487412,8563.83373974579,1664.53934323262,1715.5466793419,1928.69887731083,1592.56297502486,1613.85446345725,1806.64475769182,1675.71344078847,0.049055179054358,0.00903654051195853,0.00886112379176112,0.20593718445915,4904.2733146889,40.0493509676539,28.3506566195615,48.9304119669448,39.7620233752003,40.212616448261,48.9497800274335,38.282118035427
145,2153,1935,35,698,107,53,896,32,0.0292,0.0015,5e-04,0.001,3641,15,4,24,5,17,34,22,354.057185127173,488.65488949664,167.998459632813,153.161233547388,507.208538226945,131.865005278908,145.305678069083,188.371629863859,149.410694314683,0.029674090482848,0.000997975793163419,0.000994284866325527,0.009,2994.4898692517,13.8057475201137,6.01431337716603,30,13.0188654605567,13.0232249302029,26.0319783842225,11.0055829764157,105.090573975217,105.132509234341,11.9849306221763,11.0354395487067,61.5451674018014,11.9976449746325,11.04560950335,12.0681431730579,12,0.0110019732465869,0.000199755144914817,0.000198952227037815,0.00201766636369269,1108.44505137245,3,2.98395318652548,4.45382312609213,2.97927066530262,2.99735652796793,3.0028032684499,3,6972.78079224597,8495,1761.41484774416,1728.93112202601,1824.19689442826,1697.69775263912,1747.67294655591,1804.45958790938,1729,0.0491005624196033,0.00910222879291756,0.00886832460327615,0.205848337887056,4902.42831847964,40.840230129242,28.8153543860152,48.9937872415843,41,40.9802160421244,49,39.0064708258123
698,5436,31,246,82,1265,645,17,663,0.0348,8e-04,0.0021,0.007,4855,8,5,19,7,6,9,8,967.072027994716,1431.88716014888,78.6157168312968,117.59717400386,140.893242707863,147.317835652764,191.216894232627,58.2602633434852,566.044166074988,0.0300039913418421,0.000989930114249108,0.00100740511095963,0.0397335012919022,2969.43945911403,10.0575576833174,4.96872121935387,23.5935459991121,9.94150806192852,9.9998848216624,27,11.7816400597674,109.402794505075,119.499979154671,11.0089453881524,11.0022743460096,14.0334315898414,12.3190160900928,12.209385422261,10.9837359412081,27.2884869025832,0.0109103037554033,0.000199151960860856,0.000199019321455969,0.00221505484223275,1102.16390325833,2.97192419139977,2.96759130343971,3.06485798651321,2.97575558101088,2.97391460566458,3.95818729894462,2.98697034591774,8406.99033209544,9147.63879025713,1607.77898597481,1679.27663261779,1428.60109379912,1745.61741177993,1815.99390402507,1367.67698960331,1892.05170063518,0.0491264279521864,0.00874458236448284,0.00892420905970866,0.229004688813091,4899.65519693104,38.364239793575,26.2993576487098,48.0526716372862,38.0576751293583,39.0964732117559,48.9901432552729,40.1132907081181
9724,584,97,652,12,56,142,1922,81,0.048,3e-04,0.0069,0.01,1202,7,6,35,16,19,15,15,1782.40479120698,1344.18977958963,180.843259108871,133.002199627123,47.5069222199961,101.564550328376,135.341566470489,213.852651230019,63.0111844391242,0.0295041608870771,0.000973237574582664,0.0010999538083862,0.00591389272685335,3018.46710238484,10.1728282944455,5.0005687695577,26.0523519249847,11.1217791860747,10.2684780220243,25.9751383678934,10.7819606853165,149.804990131882,125.501431891797,11.942072839056,11.9970772565889,10.61485935066,10.9104369595137,11.0329576275003,12.9821450179059,11.0579967361472,0.0110007781516293,0.000196511476030965,0.000199778462545084,0.00223488128407359,1108.57072672832,2.99937723613204,2.99340353934463,4.00459351356055,3.01662411646453,2.99693904618571,2.99315725232106,2.96686576162311,9085.91654695801,8897.72997881469,1742.35081622293,1750.11304174522,701.880946507575,1708.75422003446,1741.91254820082,1758.77912910864,1191.46481468201,0.0491007015988495,0.0089,0.00880851744144371,0.0753758939095395,4899.67124958029,40,27.2899886899224,49.0023215563587,39.197194436196,39.0275554450649,48.9999183533816,39.6372937194396
248,613,1098,19,466,477,579,440,200,0.0355,0.0051,5e-04,0.001,2353,16,12,22,7,13,8,6,512.626469102656,683.837293728684,198.001605225517,148.996099840195,142.988937424419,172.143437354064,149.965645958443,75.5476927529071,171.165911582869,0.0306002856910756,0.00110563913300282,0.00100231013907822,0.00759420470856139,3038.017569599,13.0605391625822,6.08309660077183,30.1177075573034,13.2943912002961,13.0183313388324,26.728478582327,10.9892431272968,110.082310315919,106.711649227396,11.9794852633671,11.9035478911725,12.282147137678,11.9597756968664,11.9576618430076,11.0070029633869,12.4049552945245,0.010902361225675,0.000199889201696166,0.000199892382345574,0.00192840134550652,1085.91261180145,3.00723613215973,2.98694497050482,5.07685723857471,2.99524772811648,3.00500592718343,2.99786099430529,2.99560741539245,7626.70044830205,8679.25170213796,1800.09618233217,1744.49421779413,1499.18592701841,1762.82216909462,1740.88961360567,1426.84379632738,1688.81513570848,0.0491242351324081,0.00900474417463605,0.00900896512043957,0.183032013935568,4889.10460680948,40.689078521298,29.2700420082926,49.0018629664249,41.0928136718548,41.9134784190846,48.9923742584184,38.9761393761849
