waterbody,N,allelicRichness,privateAlleles,Ho,He,fis
Apt1,24,1.24661192305151,24,0.0813525475285171,0.0883654226961158,0.0785474934036939
Apt2,6,1.42737642585551,1,0.0612423574144487,0.0704845509893455,0.0945610091743119
Apt3,6,1.3015993907083,0,0.071604569687738,0.0764053394355454,0.0378718518518519
Drain1,36,1.53217348038447,647,0.147041216730038,0.161434144486692,0.0703831756046267
EastGC1,8,1.11541428153595,0,0.0311971102661597,0.0335991634980989,0.042331654676259
EastGC10,33,1.08101622452185,0,0.0224695817490494,0.0252680608365019,0.0998092024539877
EastGC11,27,1.08664935182978,0,0.0258425855513308,0.0280887452471483,0.0726675159235669
EastGC13,35,1.09803445216789,0,0.030581216730038,0.0314433460076046,0.0331668341708543
EastGC2,69,1.08452138048578,0,0.0260251711026616,0.0279665399239544,0.0640934523809524
EastGC3,9,1.11060817658447,0,0.0291423574144487,0.0299257034220532,0.0272007633587786
EastGC4,51,1.08497369044682,0,0.0267091254752852,0.0282377186311787,0.0420815950920245
EastGC7,28,1.1037305920858,0,0.028972319391635,0.0311946768060836,0.0579435
Hotel1,108,1.04565654552108,1,0.0166338403041825,0.0181398479087452,0.0764548780487805
Hotel2,11,1.04187851223202,0,0.0159365779467681,0.0158903422053232,0.00340847457627118
Hotel3,27,1.0474700012661,0,0.0158222053231939,0.0178853231939163,0.079973417721519
Hotel4,30,1.04443001252078,0,0.0158438783269962,0.0167167300380228,0.0290831168831169
Private1,25,1.06930884847361,32,0.0283955893536122,0.0280619771863118,-0.017051
WestGC1,69,1.09922257092604,0,0.0295980988593156,0.0314844106463878,0.0522572139303483
WestGC2,33,1.10212381140668,0,0.0292662357414449,0.0323305703422053,0.0559886597938144
WestGC6,18,1.12138786291206,1,0.0359997718631179,0.0389369581749049,0.0486334951456311
