"X","EastGC11","EastGC2","EastGC1","EastGC3","EastGC4","EastGC13","EastGC10","EastGC7"
"EastGC11",0,543.04526845115,644.75634600773,573.316588979524,464.178238690183,214.1123312696,527.741740577723,443.8944272802
"EastGC2",543.04526845115,0,237.552290519824,285.330243871483,243.168368880544,483.417205096588,642.669320135347,175.31490625082
"EastGC1",644.75634600773,237.552290519824,0,522.261103853145,475.318824307462,655.948741601525,532.191264944944,204.249756307647
"EastGC3",573.316588979524,285.330243871483,522.261103853145,0,112.36941087106,411.033001536498,863.402445544288,417.939597427162
"EastGC4",464.178238690183,243.168368880544,475.318824307462,112.36941087106,0,317.348971148014,762.257090450993,336.430522582994
"EastGC13",214.1123312696,483.417205096588,655.948741601525,411.033001536498,317.348971148014,0,698.464921086247,456.429524236454
"EastGC10",527.741740577723,642.669320135347,532.191264944944,863.402445544288,762.257090450993,698.464921086247,0,468.101706514101
"EastGC7",443.8944272802,175.31490625082,204.249756307647,417.939597427162,336.430522582994,456.429524236454,468.101706514101,0
