"X","WestGC6","Hotel3","Hotel4","WestGC1","WestGC2","Hotel1","Hotel2"
"WestGC6",0,580.917796581443,634.833447500807,705.496114547436,649.71798900633,708.745131533155,631.772751976248
"Hotel3",580.917796581443,0,64.382642037512,833.142212148792,876.724723717294,151.940097718649,70.0014109828558
"Hotel4",634.833447500807,64.382642037512,0,893.27942097113,939.571084775555,144.883549626078,86.9867179005944
"WestGC1",705.496114547436,833.142212148792,893.27942097113,0,136.912904271316,838.755612131144,821.133505692329
"WestGC2",649.71798900633,876.724723717294,939.571084775555,136.912904271316,0,904.303195925187,875.184693919474
"Hotel1",708.745131533155,151.940097718649,144.883549626078,838.755612131144,904.303195925187,0,83.5763533477825
"Hotel2",631.772751976248,70.0014109828558,86.9867179005944,821.133505692329,875.184693919474,83.5763533477825,0
